"zipcode","state","population","popdens","lat","long","urban","suburban","rural","mturk","suv","region"
32216,"FL",9291,2774.542562,30.279,-81.586,0,1,0,1,0,4
80031,"CO",9138,4025.14828,39.878,-105.044,1,0,0,1,0,2
98372,"WA",5809,1647.727273,47.212,-122.255,0,1,0,1,0,1
60201,"IL",11101,9117.336152,42.056,-87.702,1,0,0,1,0,3
97266,"OR",9029,5504.132231,45.482,-122.557,1,0,0,1,0,1
97202,"OR",9867,6123.538705,45.48,-122.645,1,0,0,1,0,1
85142,"AZ",11567,688.5038039,33.192,-111.621,0,0,1,1,0,2
34237,"FL",3187,4169.820972,27.338,-82.514,1,0,0,1,0,4
37918,"TN",11065,1221.414314,36.057,-83.914,0,1,0,1,0,4
98501,"WA",9784,1107.229965,46.978,-122.874,0,1,0,1,0,1
76522,"TX",9402,309.4487503,31.263,-98.088,0,0,1,1,0,4
46303,"IN",2501,514.1509434,41.374,-87.464,0,0,1,1,0,3
53095,"WI",6947,377.664904,43.381,-88.171,0,0,1,1,0,3
85002,"AZ",1,0,33.449,-112.073,0,0,1,1,0,2
44212,"OH",11138,2011.454965,41.239,-81.832,0,1,0,1,0,3
80226,"CO",8600,3837.468983,39.711,-105.091,1,0,0,1,0,2
48823,"MI",12375,2287.204637,42.763,-84.439,0,1,0,1,0,3
29640,"SC",8533,350.2176403,34.893,-82.58,0,0,1,1,0,4
78212,"TX",7234,4203.402367,29.462,-98.487,1,0,0,1,0,4
48750,"MI",14683,92.23230112,44.435,-83.506,0,0,1,1,0,3
14620,"NY",6466,5611.830357,43.129,-77.605,1,0,0,1,0,5
64111,"MO",3193,5999.264706,39.057,-94.594,1,0,0,1,0,3
8020,"NJ",4427,508.3140878,39.799,-75.22,0,0,1,1,0,5
37397,"TN",1045,62.07551796,35.173,-85.514,0,0,1,1,0,4
89031,"NV",13365,6371.08307,36.258,-115.167,1,0,0,1,0,2
1702,"MA",9653,4599.011125,42.279,-71.444,1,0,0,1,0,5
28092,"NC",9844,314.6003263,35.481,-81.25,0,0,1,1,0,4
3103,"NH",9541,3733.469806,42.941,-71.444,1,0,0,1,0,5
14850,"NY",13473,507.1927596,42.407,-76.518,0,0,1,1,0,5
43220,"OH",6427,3669.456681,40.049,-83.072,1,0,0,1,0,3
94549,"CA",6858,1398.438313,37.89,-122.106,0,1,0,1,0,1
30004,"GA",12473,924.0808503,34.129,-84.295,0,0,1,1,0,4
46038,"IN",9722,2389.043699,39.964,-86.011,0,1,0,1,0,3
95051,"CA",12550,8157.207207,37.35,-121.985,1,0,0,1,0,1
23233,"VA",7333,2342.625608,37.651,-77.62,0,1,0,1,0,4
93722,"CA",14253,3902.399183,36.804,-119.889,1,0,0,1,0,1
28645,"NC",11509,144.6729142,35.956,-81.531,0,0,1,1,0,4
7432,"NJ",13697,4569.230769,40.995,-74.142,1,0,0,1,0,5
29349,"SC",8442,386.6658111,35.082,-82.081,0,0,1,1,0,4
18302,"PA",3499,280.5299725,41.082,-75.1,0,0,1,1,0,5
85710,"AZ",12555,4506.539735,32.214,-110.824,1,0,0,1,0,2
60606,"IL",4529,8876.923077,41.883,-87.637,1,0,0,1,0,3
8731,"NJ",5164,418.3357725,39.858,-74.267,0,0,1,1,0,5
80012,"CO",11424,6005.791506,39.704,-104.838,1,0,0,1,0,2
91502,"CA",1526,8485.820896,34.177,-118.31,1,0,0,1,0,1
58203,"ND",3759,269.0230224,47.987,-97.145,0,0,1,1,0,3
24502,"VA",11130,1565.465032,37.363,-79.213,0,1,0,1,0,4
56301,"MN",8895,436.9981137,45.494,-94.243,0,0,1,1,0,3
60067,"IL",9845,2812.317784,42.101,-88.068,0,1,0,1,0,3
1254,"MA",15396,66.75824176,42.379,-73.366,0,0,1,1,0,5
53212,"WI",8497,7510.123457,43.075,-87.907,1,0,0,1,0,3
28804,"NC",5309,771.5199398,35.648,-82.554,0,0,1,1,0,4
6269,"CT",15228,7690.625,41.807,-72.252,1,0,0,1,0,5
49508,"MI",9944,3248.79668,42.867,-85.627,1,0,0,1,0,3
77550,"TX",5949,3068.308921,29.307,-94.772,1,0,0,1,0,4
92301,"CA",8938,191.9354839,34.666,-117.501,0,0,1,1,0,1
97128,"OR",9493,338.1772247,45.183,-123.264,0,0,1,1,0,1
34429,"FL",14567,211.850569,28.863,-82.621,0,0,1,1,0,4
17036,"PA",5666,800.9137427,40.286,-76.699,0,0,1,1,0,5
15212,"PA",7109,4484.726688,40.468,-80.012,1,0,0,1,0,5
88101,"NM",11275,84.58661454,34.509,-103.28,0,0,1,1,0,2
18032,"PA",15001,4619.402985,40.656,-75.468,1,0,0,1,0,5
33603,"FL",3991,4613.52657,27.986,-82.464,1,0,0,1,0,4
48198,"MI",9788,1137.164979,42.27,-83.6,0,1,0,1,0,3
97080,"OR",10862,1896.474954,45.471,-122.379,0,1,0,1,0,1
1876,"MA",7286,1401.124145,42.611,-71.232,0,1,0,1,0,5
94401,"CA",9221,10929.84127,37.574,-122.319,1,0,0,1,0,1
30096,"GA",13429,2721.372378,33.982,-84.151,0,1,0,1,0,4
79907,"TX",12597,4050.844967,31.712,-106.326,1,0,0,1,0,4
37921,"TN",7195,1845.294118,35.985,-83.993,0,1,0,1,0,4
47807,"IN",2131,3478.666667,39.47,-87.403,1,0,0,1,0,3
80401,"CO",9967,754.6569567,39.714,-105.244,0,0,1,1,0,2
83404,"ID",5600,808.9105204,43.428,-111.973,0,0,1,1,0,2
22033,"VA",9718,4985.582011,38.879,-77.377,1,0,0,1,0,4
49423,"MI",11262,579.5258343,42.741,-86.066,0,0,1,1,0,3
68154,"NE",5853,3459.146341,41.263,-96.117,1,0,0,1,0,3
94519,"CA",3813,4222.654462,37.99,-122.002,1,0,0,1,0,1
90027,"CA",11295,5466.22276,34.128,-118.289,1,0,0,1,0,1
NA,NA,NA,NA,NA,NA,0,0,0,1,0,5
92284,"CA",6452,227.6603465,34.157,-116.485,0,0,1,1,0,1
7304,"NJ",10916,21932.44681,40.715,-74.063,1,0,0,1,0,5
6611,"CT",9486,1508.190556,41.262,-73.208,0,1,0,1,0,5
98682,"WA",12450,1753.746684,45.677,-122.472,0,1,0,1,0,1
60051,"IL",6481,787.742339,42.324,-88.213,0,0,1,1,0,3
6405,"CT",7101,1311.058824,41.283,-72.796,0,1,0,1,0,5
92029,"CA",3965,804.2706131,33.085,-117.137,0,0,1,1,0,1
72364,"AR",3031,218.2984004,35.218,-90.183,0,0,1,1,0,4
8003,"NJ",8546,2764.350181,39.89,-74.974,0,1,0,1,0,5
8857,"NJ",10035,1644.600165,40.391,-74.326,0,1,0,1,0,5
85225,"AZ",13609,5462.441315,33.326,-111.824,1,0,0,1,0,2
19054,"PA",3524,4211.835749,40.168,-74.822,1,0,0,1,0,5
44281,"OH",7577,627.4403016,41.062,-81.754,0,0,1,1,0,3
90266,"CA",9345,8917.51269,33.889,-118.401,1,0,0,1,0,1
64024,"MO",3163,230.3107705,39.321,-94.22,0,0,1,1,0,3
3824,"NH",2661,654.0661305,43.122,-70.922,0,0,1,1,0,5
32303,"FL",11484,1334.432234,30.523,-84.332,0,1,0,1,0,4
61028,"IL",981,18.59052248,42.304,-90.159,0,0,1,1,0,3
83204,"ID",3707,78.37050563,42.76,-112.521,0,0,1,1,0,2
37932,"TN",2622,504.7602502,35.922,-84.189,0,0,1,1,0,4
91203,"CA",2183,16121.95122,34.153,-118.266,1,0,0,1,0,1
97214,"OR",6133,8474.377224,45.514,-122.644,1,0,0,1,0,1
28105,"NC",9990,1663.277311,35.11,-80.709,0,1,0,1,0,4
81520,"CO",2252,650.8712488,39.085,-108.432,0,0,1,1,0,2
73533,"OK",7240,85.67038265,34.453,-97.852,0,0,1,1,0,4
72076,"AR",9751,512.8139346,34.916,-92.152,0,0,1,1,0,4
55014,"MN",6979,1459.283039,45.175,-93.128,0,1,0,1,0,3
22303,"VA",1960,8630.821918,38.79,-77.081,1,0,0,1,0,4
32826,"FL",7447,3047.455867,28.589,-81.185,1,0,0,1,0,4
11580,"NY",10767,10259.07928,40.677,-73.704,1,0,0,1,0,5
78728,"TX",5255,2502.959309,30.452,-97.698,0,1,0,1,0,4
83440,"ID",9248,202.9673939,43.778,-111.689,0,0,1,1,0,2
10032,"NY",12692,86865.15152,40.835,-73.949,1,0,0,1,0,5
4401,"ME",11254,447.9596927,44.864,-68.816,0,0,1,1,0,5
32712,"FL",10963,700.3521127,28.731,-81.507,0,0,1,1,0,4
30092,"GA",8761,2890.06381,33.968,-84.227,0,1,0,1,0,4
90018,"CA",11611,17003.44828,34.027,-118.318,1,0,0,1,0,1
60647,"IL",14846,21553.33333,41.921,-87.702,1,0,0,1,0,3
28412,"NC",9407,1638.553662,34.126,-77.921,0,1,0,1,0,4
1701,"MA",8664,1840.625,42.323,-71.435,0,1,0,1,0,5
21218,"MD",11644,11912.91866,39.329,-76.6,1,0,0,1,0,4
98105,"WA",11171,10635.35109,47.66,-122.281,1,0,0,1,0,1
63021,"MO",12652,2580.779817,38.565,-90.534,0,1,0,1,0,3
84003,"UT",11025,732.653414,40.406,-111.829,0,0,1,1,0,2
48843,"MI",11074,477.0111111,42.573,-83.91,0,0,1,1,0,3
53562,"WI",6094,742.2871505,43.115,-89.521,0,0,1,1,0,3
85742,"AZ",6486,877.8551532,32.403,-111.088,0,0,1,1,0,2
46234,"IN",6377,1947.409733,39.81,-86.336,0,1,0,1,0,3
45220,"OH",2874,5354.195804,39.147,-84.52,1,0,0,1,0,3
23504,"VA",6061,5658.554217,36.863,-76.261,1,0,0,1,0,4
40515,"KY",9078,597.0321663,37.921,-84.425,0,0,1,1,0,4
