ZIPA,ZIPN,RUCA2.0,COMMFLAG,STNAME
01936,1936.00,1.00,1.00,Massachusetts
01937,1937.00,1.00,1.00,Massachusetts
01938,1938.00,1.00,0.00,Massachusetts
01940,1940.00,1.00,0.00,Massachusetts
01944,1944.00,1.00,0.00,Massachusetts
01945,1945.00,1.00,0.00,Massachusetts
01949,1949.00,1.00,0.00,Massachusetts
01950,1950.00,1.00,0.00,Massachusetts
01951,1951.00,1.00,0.00,Massachusetts
01952,1952.00,1.00,0.00,Massachusetts
01960,1960.00,1.00,0.00,Massachusetts
01961,1961.00,1.00,1.00,Massachusetts
01965,1965.00,1.00,1.00,Massachusetts
01966,1966.00,1.00,0.00,Massachusetts
01969,1969.00,1.00,0.00,Massachusetts
01970,1970.00,1.00,0.00,Massachusetts
01971,1971.00,1.00,1.00,Massachusetts
01982,1982.00,1.00,0.00,Massachusetts
01983,1983.00,1.00,0.00,Massachusetts
01984,1984.00,1.00,0.00,Massachusetts
01985,1985.00,1.00,0.00,Massachusetts
02018,2018.00,1.00,1.00,Massachusetts
02019,2019.00,1.00,0.00,Massachusetts
02020,2020.00,1.00,1.00,Massachusetts
02021,2021.00,1.00,0.00,Massachusetts
02025,2025.00,1.00,0.00,Massachusetts
02026,2026.00,1.00,0.00,Massachusetts
02027,2027.00,1.00,1.00,Massachusetts
02030,2030.00,1.00,0.00,Massachusetts
02031,2031.00,1.00,1.00,Massachusetts
02032,2032.00,1.00,0.00,Massachusetts
02035,2035.00,1.00,0.00,Massachusetts
02038,2038.00,1.00,0.00,Massachusetts
02040,2040.00,1.00,1.00,Massachusetts
02041,2041.00,1.00,1.00,Massachusetts
02043,2043.00,1.00,0.00,Massachusetts
02044,2044.00,1.00,1.00,Massachusetts
02045,2045.00,1.00,0.00,Massachusetts
02047,2047.00,1.00,1.00,Massachusetts
02048,2048.00,1.00,0.00,Massachusetts
02050,2050.00,1.00,0.00,Massachusetts
02051,2051.00,1.00,1.00,Massachusetts
02052,2052.00,1.00,0.00,Massachusetts
